Age,Gender,Marital Status,Occupation,Vehicle Age,Vehicle,Property Value,Zip Code,Claim History,Coverage Type,Premium
33,Female,Widowed,Sales Associate,15,Nissan Altima,255935,CV1 2WT,Yes,Liability-only,4672
58,Male,Widowed,Teacher,17,Buick Encore,651443,OL4 1ES,Yes,Liability-only,8257
53,Female,Married,IT Professional,18,Nissan Altima,403978,OL4 1ES,Yes,Comprehensive,5711
50,Female,Divorced,Sales Associate,5,Toyota Corolla,526924,TQ2 5HB,Yes,Comprehensive,6643
21,Female,Married,Sales Associate,13,Hyundai Elantra,537688,BS2 8JD,No,Liability-only,1159
50,Female,Single,Lawyer,19,Buick Encore,666404,PE1 1HA,No,Liability-only,6938
31,Female,Divorced,IT Professional,13,Buick Encore,487864,AL1 3NJ,Yes,Comprehensive,1580
38,Female,Widowed,Student,18,Buick Encore,172072,DN1 1QR,No,Liability-only,9411
37,Female,Married,Engineer,14,Tesla Model S,231015,TQ2 5HB,Yes,Collision,8586
25,Male,Widowed,Small Business Owner,4,Buick Encore,375075,M1 1AA,No,Collision,5474
24,Male,Widowed,IT Professional,4,Tesla Model S,222746,BS2 8JD,No,Collision,8073
20,Female,Single,Teacher,19,Audi Q5,326774,DN1 1QR,No,Liability-only,6059
34,Female,Divorced,Nurse,13,Toyota Corolla,514404,CW1 2BB,No,Comprehensive,5328
50,Male,Single,Teacher,12,Audi Q5,549273,DN1 1QR,No,Comprehensive,2394
29,Female,Single,Engineer,7,BMW X5,278259,OL4 1ES,No,Comprehensive,1921
39,Male,Single,IT Professional,12,Audi Q5,180916,BS2 8JD,Yes,Liability-only,3773
39,Male,Widowed,Teacher,4,Ford F-150,173259,AL1 3NJ,No,Liability-only,5462
63,Male,Single,Teacher,2,Nissan Altima,596799,DN1 1QR,Yes,Collision,5576
47,Female,Single,Student,2,Ford F-150,446437,E1 6AN,Yes,Liability-only,4434
55,Female,Divorced,Student,5,Toyota Camry,157043,SW1A 1AA,Yes,Collision,7733
55,Male,Divorced,IT Professional,10,Audi Q5,257009,E1 6AN,Yes,Collision,2865
62,Male,Single,Engineer,10,Hyundai Elantra,359137,TQ2 5HB,Yes,Comprehensive,1724
25,Male,Divorced,Sales Associate,9,Honda Accord,311940,BD1 3EB,Yes,Liability-only,1711
44,Male,Divorced,Driver,13,Audi Q5,669466,MK9 1AN,No,Comprehensive,8710
44,Male,Single,Retired,7,Toyota Corolla,250804,M1 1AA,No,Comprehensive,6080
51,Female,Widowed,Small Business Owner,5,Audi Q5,219000,PE1 1HA,No,Liability-only,1390
38,Male,Single,Retired,10,Tesla Model S,234179,E1 6AN,Yes,Liability-only,5487
47,Female,Divorced,Lawyer,10,Toyota Camry,624706,DN1 1QR,Yes,Collision,9116
50,Male,Widowed,Student,6,Buick Encore,173880,BD1 3EB,Yes,Collision,7747
45,Female,Married,IT Professional,19,Toyota Camry,543471,OL4 1ES,No,Collision,7066
64,Female,Widowed,Retired,8,Toyota Camry,544718,E1 6AN,No,Collision,5494
50,Female,Divorced,Engineer,1,Nissan Altima,619054,PE1 1HA,No,Comprehensive,4572
22,Female,Widowed,Small Business Owner,17,Honda Accord,322438,BS2 8JD,Yes,Comprehensive,8769
36,Female,Single,Retired,7,Toyota Camry,570641,AL1 3NJ,Yes,Liability-only,3311
21,Female,Married,Small Business Owner,14,Nissan Altima,595544,SW1A 1AA,Yes,Collision,7773
52,Male,Married,Nurse,17,Buick Encore,483838,CW1 2BB,No,Collision,7905
34,Female,Married,Engineer,9,Ford F-150,549022,E1 6AN,Yes,Collision,4642
61,Male,Divorced,Driver,17,Buick Encore,629490,TQ2 5HB,Yes,Comprehensive,7338
45,Female,Divorced,Teacher,5,Hyundai Elantra,206731,CW1 2BB,Yes,Liability-only,3609
47,Female,Married,Small Business Owner,8,Toyota Camry,225010,CW1 2BB,Yes,Comprehensive,7240
46,Male,Widowed,Engineer,6,Toyota Camry,399091,CW1 2BB,No,Liability-only,8806
63,Female,Married,Small Business Owner,11,Ford F-150,444743,DN1 1QR,No,Liability-only,1757
23,Male,Widowed,Small Business Owner,19,Toyota Corolla,221326,DN1 1QR,Yes,Comprehensive,6086
52,Male,Widowed,Sales Associate,4,Toyota Camry,487850,SE1 8DP,Yes,Comprehensive,7220
58,Male,Divorced,Sales Associate,18,Honda Accord,683292,CW1 2BB,No,Liability-only,6602
54,Male,Widowed,Engineer,1,BMW X5,651498,SE1 8DP,No,Comprehensive,7121
41,Female,Married,Sales Associate,13,Toyota Camry,265018,AL1 3NJ,Yes,Comprehensive,9956
46,Female,Divorced,Lawyer,14,BMW X5,594580,CW1 2BB,No,Liability-only,3725
63,Male,Single,Driver,1,Buick Encore,638968,BD1 3EB,No,Liability-only,4368
48,Female,Single,IT Professional,11,Audi Q5,608128,CW1 2BB,Yes,Collision,4497
52,Female,Divorced,Engineer,17,Toyota Corolla,204645,CV1 2WT,No,Comprehensive,9174
50,Male,Married,Engineer,4,Nissan Altima,681520,DN1 1QR,No,Liability-only,6642
38,Female,Single,Lawyer,12,Tesla Model S,621426,M1 1AA,No,Comprehensive,9774
49,Male,Single,Student,10,Toyota Corolla,231588,BD1 3EB,No,Comprehensive,5766
40,Male,Widowed,Student,6,Tesla Model S,329614,PE1 1HA,Yes,Liability-only,5633
50,Female,Widowed,Sales Associate,1,Buick Encore,680201,E1 6AN,No,Collision,2821
20,Female,Married,IT Professional,7,Toyota Corolla,263693,AL1 3NJ,No,Liability-only,2185
35,Female,Divorced,Sales Associate,16,Nissan Altima,160567,AL1 3NJ,Yes,Liability-only,2637
42,Male,Married,Nurse,14,Tesla Model S,412463,CV1 2WT,No,Comprehensive,8236
59,Male,Divorced,Nurse,6,Ford F-150,240005,CV1 2WT,Yes,Collision,9380
48,Female,Single,Teacher,5,Honda Accord,629336,CV1 2WT,Yes,Liability-only,2746
20,Female,Widowed,Nurse,18,Toyota Corolla,154791,CV1 2WT,No,Comprehensive,6797
57,Female,Married,Student,15,Buick Encore,640488,CV1 2WT,No,Liability-only,9089
63,Female,Married,Driver,6,Toyota Camry,281401,OL4 1ES,No,Comprehensive,3620
41,Male,Divorced,Nurse,19,Nissan Altima,355459,BS2 8JD,No,Liability-only,8597
49,Female,Divorced,Sales Associate,1,Tesla Model S,211032,DN1 1QR,No,Collision,9002
64,Male,Married,Small Business Owner,1,Tesla Model S,695588,AL1 3NJ,Yes,Liability-only,7107
39,Male,Divorced,Engineer,13,Honda Accord,594161,CV1 2WT,No,Comprehensive,3793
40,Female,Married,Driver,3,Tesla Model S,341634,E1 6AN,Yes,Liability-only,3500
19,Female,Married,Driver,10,BMW X5,475259,SW1A 1AA,No,Collision,9361
44,Female,Married,Sales Associate,3,Hyundai Elantra,369162,OL4 1ES,Yes,Collision,5925
59,Male,Single,Engineer,9,BMW X5,177676,BD1 3EB,No,Collision,2080
19,Female,Divorced,Student,8,Tesla Model S,604926,SW1A 1AA,No,Collision,5864
43,Female,Widowed,Driver,3,Nissan Altima,317995,BD1 3EB,No,Comprehensive,5453
34,Male,Widowed,Teacher,13,Toyota Corolla,441946,SE1 8DP,No,Liability-only,3248
57,Female,Divorced,Sales Associate,6,Buick Encore,502475,DN1 1QR,No,Collision,2325
50,Male,Married,Driver,13,Toyota Camry,606120,BS2 8JD,Yes,Liability-only,4873
26,Female,Widowed,IT Professional,12,Toyota Corolla,274786,SW1A 1AA,No,Comprehensive,2688
60,Male,Widowed,Engineer,13,Ford F-150,696363,BD1 3EB,No,Liability-only,3985
56,Female,Divorced,Nurse,2,Toyota Corolla,159304,CV1 2WT,No,Liability-only,3076
46,Female,Widowed,Driver,16,Toyota Corolla,279851,AL1 3NJ,Yes,Collision,2461
59,Male,Married,Sales Associate,6,Buick Encore,532873,SE1 8DP,No,Collision,1072
43,Male,Divorced,Nurse,19,Honda Accord,209622,M1 1AA,Yes,Comprehensive,7030
52,Female,Married,Teacher,13,Tesla Model S,466359,MK9 1AN,No,Liability-only,5611
42,Male,Widowed,Nurse,17,Honda Accord,555737,MK9 1AN,Yes,Comprehensive,3796
41,Male,Widowed,IT Professional,9,Ford F-150,399109,OL4 1ES,No,Comprehensive,8717
30,Male,Married,Student,17,Audi Q5,436172,M1 1AA,No,Comprehensive,5516
24,Male,Single,Driver,2,Toyota Camry,439445,M1 1AA,Yes,Collision,3493
53,Female,Widowed,Retired,19,BMW X5,450159,CV1 2WT,No,Collision,5231
62,Female,Single,Retired,19,Toyota Camry,325231,M1 1AA,Yes,Liability-only,4576
37,Male,Widowed,Nurse,7,Tesla Model S,455858,M1 1AA,No,Liability-only,9100
18,Male,Single,Lawyer,10,Toyota Camry,230722,MK9 1AN,No,Liability-only,6728
25,Male,Single,Engineer,10,Hyundai Elantra,437374,BD1 3EB,Yes,Collision,1032
63,Male,Single,Retired,9,BMW X5,199262,DN1 1QR,No,Collision,5373
33,Female,Married,Lawyer,17,Ford F-150,191722,PE1 1HA,Yes,Comprehensive,4598
31,Female,Single,Retired,15,Tesla Model S,390740,SE1 8DP,Yes,Collision,3392
29,Male,Single,Lawyer,2,Nissan Altima,250808,M1 1AA,No,Comprehensive,7705
40,Male,Single,Engineer,4,Ford F-150,405416,SW1A 1AA,No,Comprehensive,7790
32,Male,Widowed,Small Business Owner,19,Hyundai Elantra,412128,BS2 8JD,No,Collision,3677
45,Female,Single,Retired,17,BMW X5,548455,E1 6AN,Yes,Comprehensive,2401
51,Male,Widowed,IT Professional,5,Buick Encore,463030,SE1 8DP,Yes,Comprehensive,1817
19,Female,Single,Driver,7,Hyundai Elantra,570411,BS2 8JD,No,Liability-only,7203
49,Male,Single,Lawyer,18,Ford F-150,254697,E1 6AN,Yes,Comprehensive,5562
40,Female,Married,Driver,7,Tesla Model S,638075,M1 1AA,Yes,Collision,5723
39,Male,Widowed,Sales Associate,17,Audi Q5,381572,PE1 1HA,Yes,Collision,3438
42,Female,Single,Sales Associate,7,Tesla Model S,299177,TQ2 5HB,Yes,Comprehensive,7828
39,Male,Widowed,Engineer,4,BMW X5,310811,CW1 2BB,No,Liability-only,2210
39,Male,Widowed,Lawyer,8,Audi Q5,656957,AL1 3NJ,No,Collision,7641
59,Male,Divorced,Teacher,13,Honda Accord,313041,TQ2 5HB,No,Collision,1599
23,Female,Married,Sales Associate,4,BMW X5,688785,BS2 8JD,Yes,Liability-only,6480
32,Male,Married,Engineer,6,BMW X5,545032,MK9 1AN,Yes,Comprehensive,2846
60,Female,Married,Sales Associate,5,Hyundai Elantra,407471,M1 1AA,Yes,Collision,7592
54,Female,Divorced,Sales Associate,12,Tesla Model S,242019,SW1A 1AA,Yes,Comprehensive,8861
50,Male,Divorced,Teacher,4,Ford F-150,259017,SW1A 1AA,No,Comprehensive,2887
25,Male,Married,Retired,9,Buick Encore,368220,SE1 8DP,Yes,Comprehensive,1679
61,Male,Divorced,Nurse,4,Toyota Camry,255153,BD1 3EB,Yes,Comprehensive,4252
61,Female,Divorced,Small Business Owner,19,Toyota Corolla,508349,M1 1AA,No,Collision,2835
22,Male,Divorced,Sales Associate,14,Buick Encore,162809,CW1 2BB,No,Liability-only,3177
56,Female,Married,Sales Associate,5,Toyota Camry,450572,M1 1AA,No,Collision,9142
21,Female,Married,IT Professional,18,Honda Accord,261126,M1 1AA,Yes,Liability-only,1148
23,Male,Married,Small Business Owner,10,Ford F-150,502465,SW1A 1AA,Yes,Comprehensive,2495
62,Male,Divorced,Teacher,19,Tesla Model S,540659,MK9 1AN,Yes,Liability-only,2744
49,Male,Married,Driver,12,Nissan Altima,167718,AL1 3NJ,Yes,Comprehensive,2646
47,Male,Divorced,Lawyer,18,BMW X5,428849,TQ2 5HB,Yes,Collision,3995
64,Male,Single,Sales Associate,17,Buick Encore,499762,SW1A 1AA,Yes,Collision,7643
52,Male,Divorced,Nurse,11,Toyota Camry,212598,MK9 1AN,No,Liability-only,8378
57,Female,Widowed,Lawyer,3,Nissan Altima,424383,BD1 3EB,Yes,Comprehensive,9849
33,Female,Married,Small Business Owner,17,Buick Encore,296075,BS2 8JD,No,Comprehensive,4667
30,Female,Married,Lawyer,1,Ford F-150,303060,TQ2 5HB,No,Liability-only,1576
59,Male,Widowed,Retired,15,Tesla Model S,599110,CV1 2WT,No,Comprehensive,5779
47,Female,Divorced,Sales Associate,9,Audi Q5,665340,CV1 2WT,Yes,Comprehensive,9187
36,Female,Single,Lawyer,15,Buick Encore,371516,SW1A 1AA,Yes,Comprehensive,3972
34,Female,Widowed,Driver,3,Buick Encore,505247,SE1 8DP,No,Collision,8756
36,Female,Widowed,Driver,19,Tesla Model S,216446,PE1 1HA,Yes,Collision,4948
45,Female,Divorced,Sales Associate,13,Honda Accord,183717,SW1A 1AA,Yes,Collision,7544
43,Male,Married,Student,12,Hyundai Elantra,368417,M1 1AA,No,Comprehensive,3045
54,Male,Divorced,Driver,1,Buick Encore,307723,SE1 8DP,Yes,Collision,2627
43,Female,Widowed,Lawyer,17,Tesla Model S,529346,MK9 1AN,Yes,Comprehensive,2488
40,Female,Widowed,Engineer,13,Hyundai Elantra,534533,PE1 1HA,Yes,Comprehensive,4563
26,Female,Married,Driver,1,Tesla Model S,259525,BS2 8JD,Yes,Liability-only,2802
29,Male,Married,Small Business Owner,10,Tesla Model S,606566,SW1A 1AA,No,Comprehensive,4591
18,Male,Married,Student,15,Honda Accord,363092,BS2 8JD,No,Collision,4520
18,Female,Divorced,Lawyer,7,Tesla Model S,154646,BD1 3EB,Yes,Collision,6896
64,Male,Married,Teacher,18,Ford F-150,451857,CV1 2WT,Yes,Comprehensive,8643
51,Male,Widowed,IT Professional,16,Buick Encore,480080,CV1 2WT,Yes,Collision,8041
49,Female,Widowed,Teacher,14,Toyota Camry,325403,TQ2 5HB,No,Comprehensive,4311
42,Male,Single,Retired,18,Toyota Camry,434329,SW1A 1AA,Yes,Liability-only,3305
57,Male,Divorced,IT Professional,7,Toyota Camry,496407,SE1 8DP,Yes,Comprehensive,8875
62,Female,Single,Retired,17,Tesla Model S,609770,SW1A 1AA,No,Comprehensive,2967
18,Male,Widowed,IT Professional,18,Nissan Altima,427845,AL1 3NJ,Yes,Liability-only,9009
33,Male,Single,IT Professional,12,Hyundai Elantra,350144,CV1 2WT,No,Collision,6462
56,Female,Widowed,Engineer,8,Hyundai Elantra,645339,TQ2 5HB,Yes,Liability-only,7897
22,Male,Single,Nurse,2,Tesla Model S,249280,AL1 3NJ,No,Liability-only,4458
39,Male,Married,Small Business Owner,7,Ford F-150,188665,AL1 3NJ,Yes,Comprehensive,9585
46,Female,Single,Teacher,4,Ford F-150,428101,BS2 8JD,Yes,Comprehensive,5778
20,Female,Married,Driver,18,BMW X5,263828,BD1 3EB,No,Liability-only,4730
29,Female,Married,Lawyer,6,Tesla Model S,240815,DN1 1QR,No,Collision,5365
43,Male,Divorced,Student,9,Toyota Corolla,344894,SE1 8DP,No,Liability-only,8547
33,Female,Married,Small Business Owner,9,Honda Accord,314714,E1 6AN,No,Collision,1027
54,Male,Married,Retired,14,Toyota Camry,182356,MK9 1AN,No,Liability-only,4491
39,Female,Single,Engineer,8,Honda Accord,415953,SE1 8DP,Yes,Liability-only,7423
46,Male,Widowed,Retired,19,Toyota Camry,421609,AL1 3NJ,No,Collision,6301
31,Female,Divorced,Nurse,3,Audi Q5,485988,PE1 1HA,No,Liability-only,7160
45,Female,Married,Student,18,Audi Q5,346322,TQ2 5HB,No,Comprehensive,2173
22,Female,Divorced,Engineer,5,Tesla Model S,689538,PE1 1HA,No,Liability-only,1338
64,Female,Single,Retired,14,Audi Q5,196023,BD1 3EB,Yes,Comprehensive,1841
47,Male,Married,Nurse,4,Nissan Altima,327696,TQ2 5HB,Yes,Collision,1293
63,Female,Single,Lawyer,7,BMW X5,690715,MK9 1AN,Yes,Collision,7558
22,Female,Divorced,Lawyer,12,Ford F-150,576492,BS2 8JD,Yes,Comprehensive,2647
29,Male,Single,Retired,2,Nissan Altima,360084,MK9 1AN,Yes,Liability-only,5898
33,Female,Divorced,Small Business Owner,11,Honda Accord,284511,BS2 8JD,No,Comprehensive,5526
43,Male,Single,Student,14,Honda Accord,629064,AL1 3NJ,Yes,Comprehensive,6614
43,Female,Divorced,Sales Associate,16,Audi Q5,228672,MK9 1AN,Yes,Collision,4801
38,Female,Widowed,Small Business Owner,6,Ford F-150,622919,AL1 3NJ,No,Comprehensive,9280
56,Female,Single,Lawyer,4,BMW X5,167300,MK9 1AN,No,Liability-only,8376
53,Male,Single,Student,15,Toyota Camry,472433,CW1 2BB,Yes,Comprehensive,1899
50,Female,Widowed,Nurse,1,Nissan Altima,560398,TQ2 5HB,Yes,Collision,4477
47,Female,Widowed,Engineer,7,BMW X5,613723,CW1 2BB,No,Liability-only,2744
54,Female,Single,IT Professional,12,Buick Encore,594128,AL1 3NJ,Yes,Collision,7096
40,Male,Widowed,Retired,10,Hyundai Elantra,169659,CV1 2WT,No,Comprehensive,3253
27,Male,Married,Teacher,5,Audi Q5,395259,SE1 8DP,No,Comprehensive,2633
22,Female,Divorced,Student,12,Toyota Camry,576802,CV1 2WT,Yes,Collision,8001
53,Male,Divorced,Driver,18,Buick Encore,160360,BS2 8JD,Yes,Collision,8020
51,Female,Divorced,Nurse,10,Toyota Camry,653447,E1 6AN,Yes,Liability-only,9149
48,Female,Married,Sales Associate,6,Toyota Camry,198791,SE1 8DP,No,Collision,5701
27,Female,Widowed,IT Professional,12,Audi Q5,546281,CV1 2WT,No,Collision,7735
36,Female,Widowed,Driver,7,Toyota Camry,658810,CV1 2WT,Yes,Comprehensive,2013
49,Female,Single,Sales Associate,18,BMW X5,424444,OL4 1ES,Yes,Comprehensive,4299
18,Female,Widowed,Teacher,2,BMW X5,177209,SE1 8DP,Yes,Collision,2506
22,Female,Single,Lawyer,10,Buick Encore,651503,E1 6AN,No,Collision,5803
62,Male,Married,Small Business Owner,15,Honda Accord,433071,BD1 3EB,No,Comprehensive,1977
21,Male,Divorced,Retired,12,Ford F-150,653623,TQ2 5HB,No,Liability-only,2817
33,Male,Divorced,Engineer,17,Nissan Altima,536060,BD1 3EB,Yes,Liability-only,5901
41,Male,Divorced,Sales Associate,4,Nissan Altima,398342,TQ2 5HB,No,Liability-only,7798
33,Male,Widowed,IT Professional,7,Toyota Corolla,568318,TQ2 5HB,No,Liability-only,1473
19,Male,Single,Student,9,Audi Q5,207803,CV1 2WT,Yes,Comprehensive,1567
45,Male,Single,Lawyer,19,Tesla Model S,582959,AL1 3NJ,No,Collision,8966
49,Female,Married,Student,7,Tesla Model S,283624,E1 6AN,Yes,Liability-only,3258
44,Female,Widowed,IT Professional,2,Buick Encore,491954,TQ2 5HB,No,Comprehensive,9120
37,Female,Married,Student,6,Toyota Camry,195380,E1 6AN,Yes,Collision,5310
41,Female,Single,Sales Associate,18,Toyota Camry,310322,BS2 8JD,Yes,Liability-only,2982
29,Male,Single,Nurse,6,Audi Q5,652610,SW1A 1AA,No,Collision,2096
52,Male,Divorced,Student,13,Hyundai Elantra,532465,PE1 1HA,Yes,Liability-only,7610
50,Female,Widowed,Small Business Owner,19,Honda Accord,669339,OL4 1ES,No,Collision,4570
50,Female,Single,Teacher,2,Toyota Corolla,422667,BS2 8JD,Yes,Liability-only,7497
60,Male,Divorced,Engineer,12,BMW X5,457674,DN1 1QR,Yes,Liability-only,4646
54,Female,Widowed,Sales Associate,15,Toyota Camry,688057,E1 6AN,Yes,Collision,3419
29,Female,Married,Driver,14,Toyota Corolla,262035,SW1A 1AA,No,Collision,5279
20,Female,Widowed,IT Professional,6,Nissan Altima,325717,M1 1AA,Yes,Collision,1673
18,Female,Widowed,Lawyer,18,Hyundai Elantra,605358,AL1 3NJ,Yes,Comprehensive,3802
50,Male,Single,Sales Associate,5,BMW X5,491926,E1 6AN,No,Comprehensive,8312
57,Female,Single,Nurse,18,Audi Q5,490526,OL4 1ES,Yes,Collision,3369
27,Female,Widowed,Lawyer,3,Toyota Corolla,318157,E1 6AN,Yes,Comprehensive,5530
60,Male,Single,Small Business Owner,3,Buick Encore,594573,SE1 8DP,Yes,Liability-only,2066
61,Male,Single,IT Professional,10,BMW X5,294542,MK9 1AN,Yes,Collision,6432
46,Female,Single,Lawyer,19,Audi Q5,519561,SE1 8DP,No,Comprehensive,9073
30,Male,Divorced,Student,3,Tesla Model S,360154,SW1A 1AA,Yes,Collision,1687
29,Female,Divorced,Sales Associate,12,Audi Q5,363396,CW1 2BB,Yes,Liability-only,1068
48,Female,Widowed,Teacher,16,Audi Q5,331844,TQ2 5HB,No,Liability-only,7774
63,Male,Single,IT Professional,17,BMW X5,672797,OL4 1ES,Yes,Comprehensive,1419
19,Female,Divorced,Retired,7,Hyundai Elantra,501444,SW1A 1AA,Yes,Liability-only,7891
52,Female,Widowed,Small Business Owner,13,BMW X5,418774,CV1 2WT,No,Collision,6593
40,Female,Single,Engineer,2,Ford F-150,511013,PE1 1HA,No,Comprehensive,7104
34,Female,Married,IT Professional,4,Honda Accord,295931,CV1 2WT,No,Collision,4892
43,Male,Single,Nurse,10,Hyundai Elantra,564399,PE1 1HA,No,Collision,1439
25,Male,Single,Sales Associate,7,Buick Encore,378495,DN1 1QR,Yes,Collision,2208
46,Female,Divorced,Student,17,Hyundai Elantra,404809,PE1 1HA,No,Liability-only,3563
43,Male,Widowed,Engineer,6,Nissan Altima,165021,MK9 1AN,Yes,Collision,8466
27,Female,Widowed,Engineer,19,Buick Encore,598781,PE1 1HA,No,Liability-only,2253
43,Female,Divorced,Small Business Owner,5,Tesla Model S,591259,BD1 3EB,Yes,Collision,4209
51,Female,Single,Lawyer,10,BMW X5,214361,PE1 1HA,No,Liability-only,4549
58,Female,Married,Nurse,9,Audi Q5,248841,E1 6AN,No,Liability-only,1614
24,Female,Single,Lawyer,13,BMW X5,396300,M1 1AA,Yes,Liability-only,4078
21,Male,Single,Student,19,Nissan Altima,310786,OL4 1ES,No,Collision,4490
62,Female,Married,Engineer,6,Toyota Corolla,691486,M1 1AA,No,Collision,4543
28,Male,Divorced,Nurse,4,Nissan Altima,479095,CW1 2BB,No,Liability-only,9102
46,Male,Widowed,Nurse,3,Ford F-150,586841,E1 6AN,Yes,Collision,2900
53,Female,Divorced,Driver,3,Audi Q5,408466,TQ2 5HB,No,Liability-only,6680
42,Female,Divorced,Sales Associate,4,Audi Q5,629198,SW1A 1AA,No,Collision,7751
38,Female,Single,Engineer,5,Toyota Camry,693028,PE1 1HA,Yes,Liability-only,6862
53,Female,Widowed,Engineer,8,Toyota Corolla,415954,BD1 3EB,Yes,Liability-only,2712
27,Female,Widowed,Nurse,16,Toyota Camry,408308,MK9 1AN,No,Comprehensive,3329
54,Male,Divorced,Lawyer,3,Tesla Model S,249855,BS2 8JD,Yes,Collision,2194
26,Female,Married,Engineer,12,Honda Accord,271701,CV1 2WT,Yes,Collision,7781
41,Female,Divorced,Nurse,8,Honda Accord,642281,SE1 8DP,Yes,Comprehensive,9162
52,Male,Married,Engineer,13,BMW X5,490191,SW1A 1AA,No,Liability-only,5906
52,Male,Widowed,Nurse,4,Honda Accord,260771,TQ2 5HB,No,Liability-only,2378
53,Female,Divorced,Driver,14,Audi Q5,156163,OL4 1ES,Yes,Comprehensive,1749
35,Male,Single,Sales Associate,14,Nissan Altima,166065,M1 1AA,No,Comprehensive,6292
56,Female,Divorced,Nurse,13,Toyota Corolla,534467,E1 6AN,Yes,Liability-only,1300
49,Male,Widowed,Engineer,6,BMW X5,495600,BS2 8JD,No,Collision,5695
41,Male,Single,Student,17,BMW X5,647721,AL1 3NJ,Yes,Comprehensive,5624
40,Female,Single,Sales Associate,4,Toyota Corolla,398924,AL1 3NJ,No,Comprehensive,4837
49,Male,Married,Driver,8,Audi Q5,694517,SE1 8DP,Yes,Comprehensive,1277
54,Male,Single,Nurse,17,Tesla Model S,464731,DN1 1QR,No,Comprehensive,4917
29,Male,Single,Student,3,Tesla Model S,461857,AL1 3NJ,No,Comprehensive,8307
30,Male,Divorced,Nurse,17,BMW X5,695389,CV1 2WT,Yes,Comprehensive,3161
40,Male,Widowed,Lawyer,9,Tesla Model S,356935,CW1 2BB,No,Liability-only,2389
42,Male,Married,Engineer,2,Audi Q5,222723,AL1 3NJ,No,Liability-only,9882
52,Female,Divorced,IT Professional,13,Ford F-150,376293,TQ2 5HB,No,Comprehensive,5732
58,Female,Single,Small Business Owner,2,Ford F-150,340477,SE1 8DP,No,Liability-only,4468
47,Male,Single,Teacher,11,Toyota Camry,316020,CW1 2BB,No,Collision,7141
34,Female,Married,Lawyer,15,Hyundai Elantra,450065,CV1 2WT,No,Collision,6969
37,Female,Widowed,Student,11,Buick Encore,615787,SE1 8DP,No,Comprehensive,4816
42,Female,Married,Lawyer,3,Honda Accord,620223,AL1 3NJ,No,Collision,6037
39,Male,Divorced,Retired,3,Tesla Model S,661174,PE1 1HA,Yes,Collision,6994
30,Female,Married,Nurse,12,Ford F-150,564287,OL4 1ES,No,Liability-only,3451
36,Male,Single,Nurse,5,Nissan Altima,329354,MK9 1AN,Yes,Liability-only,1024
53,Female,Divorced,Teacher,7,Toyota Corolla,470589,AL1 3NJ,No,Liability-only,6962
29,Male,Single,Teacher,7,Hyundai Elantra,494352,SE1 8DP,Yes,Liability-only,3556
58,Male,Widowed,Retired,13,Toyota Camry,598032,OL4 1ES,No,Collision,8632
36,Female,Single,Engineer,9,Buick Encore,518427,OL4 1ES,Yes,Comprehensive,1060
29,Female,Single,Small Business Owner,13,Ford F-150,235779,CW1 2BB,Yes,Liability-only,8675
26,Male,Married,IT Professional,12,Toyota Camry,153060,CV1 2WT,No,Collision,1122
24,Female,Single,IT Professional,13,Hyundai Elantra,425875,AL1 3NJ,Yes,Liability-only,6616
45,Female,Divorced,Driver,10,Toyota Corolla,489974,DN1 1QR,No,Collision,2186
31,Female,Divorced,Driver,1,Honda Accord,695007,BS2 8JD,No,Liability-only,6158
48,Male,Widowed,Engineer,8,Ford F-150,664583,DN1 1QR,Yes,Comprehensive,8864
36,Male,Divorced,Driver,16,Toyota Corolla,164551,MK9 1AN,No,Liability-only,5089
64,Female,Married,Driver,13,Buick Encore,505431,PE1 1HA,Yes,Comprehensive,3472
33,Female,Widowed,Retired,3,Tesla Model S,436422,DN1 1QR,Yes,Liability-only,8450
22,Female,Divorced,Retired,3,Hyundai Elantra,634405,CV1 2WT,No,Liability-only,3964
52,Male,Married,Driver,5,Buick Encore,165141,BS2 8JD,No,Liability-only,9104
29,Male,Divorced,Lawyer,11,Honda Accord,480057,SW1A 1AA,No,Collision,2310
42,Female,Divorced,Sales Associate,7,Toyota Corolla,439596,BS2 8JD,No,Collision,9346
38,Female,Single,Sales Associate,10,Audi Q5,565941,M1 1AA,No,Comprehensive,3212
53,Female,Divorced,Engineer,10,Honda Accord,263535,SW1A 1AA,Yes,Comprehensive,7792
40,Female,Divorced,IT Professional,2,BMW X5,292770,CW1 2BB,Yes,Collision,9703
33,Female,Married,Teacher,3,Ford F-150,389947,TQ2 5HB,No,Comprehensive,9378
56,Female,Married,Engineer,8,Tesla Model S,414509,BD1 3EB,No,Comprehensive,2845
62,Male,Single,Driver,11,Hyundai Elantra,283021,E1 6AN,No,Collision,8660
59,Female,Divorced,Retired,13,Nissan Altima,520480,E1 6AN,Yes,Collision,2702
56,Male,Single,Nurse,7,Toyota Corolla,181912,TQ2 5HB,Yes,Collision,1390
31,Female,Divorced,Lawyer,13,Audi Q5,206947,DN1 1QR,Yes,Collision,1654
48,Female,Widowed,Student,2,Nissan Altima,663676,SW1A 1AA,No,Liability-only,6835
22,Male,Widowed,Retired,6,Ford F-150,640913,CW1 2BB,No,Collision,5271
52,Male,Single,Sales Associate,9,Ford F-150,194387,TQ2 5HB,Yes,Comprehensive,9955
40,Male,Single,Retired,2,Hyundai Elantra,428652,CW1 2BB,No,Liability-only,4400
